N,d,det_coeff_root,det_qa2_root,det_transport_factor,gh_coeff_exact,gh_coeff_asym,gh_qa2_exact,gh_qa2_asym,rms_key_coeff,rms_f_coeff,rms_key_over_gh_coeff,rms_f_over_gh_coeff,rms_key_over_gh_qa2
768,1536,135.76818478568535,126.34653247303054,0.9306048591020996,1291.0871072737054,1287.5272938206874,1201.491935552984,1198.1791558561083,32.0,22.627416997969522,0.024785314499477937,0.01752586395642211,0.026633553711929055
1536,3072,135.76818478568535,126.34653247303054,0.9306048591020996,1823.5596761725049,1820.838560846745,1697.0134955087842,1694.481212364455,45.254833995939045,32.0,0.02481675515600622,0.017548095857858215,0.026667338896071136
3072,6144,135.76818478568535,126.34653247303054,0.9306048591020996,2577.123344498407,2575.054587641375,2398.2835068956715,2396.3583117122166,64.0,45.254833995939045,0.02483389091043157,0.017560212666013132,0.026685752462535732
